Roll No,Name,Gender,Age,Percentage,Att. Percentage,Branch,Result
1,John,Male,25,44,54,Computer,Pass
2,Emily,Female,17,88,55,Mechanical,Pass
3,David,Male,21,54,95,Civil,Pass
4,,Female,23,36,53,Computer,Fail
5,Micheal,Male,18,52,74,Petroleum,Pass
6,Jessica,Female,24,72,52,Chemical,Pass
7,Christopher,Male,,22,24,Computer,Fail
8,Ashley,Female,25,85,86,Electrical,Pass
9,Daniel,Male,21,45,42,Mechanical,Pass
10,Olivia,Female,26,87,45,Aerospace,Pass
11,Ethan,Male,21,85,75,Mechanical,Pass
12,Sophia,Male,25,74,68,Big Data,Pass
13,Alexander,Male,27,,27,ML ,
14,Mia,Female,29,64,78,AI,Pass
15,Benjamin,Male,,63,85,Computer,Pass
